ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,region,facility_squash_court,facility_swimming_pool,facility_multipurpose_hall,facility_club_house,facility_10,facility_11,facility_tennis_court,facility_gymnasium,facility_parking,facility_minimart,facility_security,facility_lift,facility_jogging_track,facility_playground,facility_barbeque_area,facility_sauna,additional_,additional_cooking_allowed,additional_internet,additional_air-cond,additional_washing_machine,additional_near_ktm/lrt,price_per_sqft,property_age,size_category
100320945,Residensi Seri Wahyu @ Jalan Kuching KL,2017.0,1300.0,KL City,Apartment,3.0,1.0,2.0,835.0,Fully Furnished,Kuala Lumpur,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1.5568862275449102,7.0,Medium
100320933,Pangsapuri Seroja,2017.0,850.0,Jinjang,Apartment,3.0,1.0,2.0,750.0,Partially Furnished,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1.1333333333333333,7.0,Medium
98990742,Endah Villa,2017.0,1400.0,Sri Petaling,Condominium,3.0,1.0,2.0,1129.0,Fully Furnished,Kuala Lumpur,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1.2400354295837024,7.0,Large
100320836,Unio Residence,2021.0,1900.0,Kepong,Service Residence,2.0,1.0,2.0,1132.0,Partially Furnished,Kuala Lumpur,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1.6784452296819787,3.0,Large
100140155,Rica Residence Sentul,2021.0,1700.0,Sentul,Condominium,2.0,1.0,1.0,700.0,Partially Furnished,Kuala Lumpur,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,2.4285714285714284,3.0,Medium
100320688,PV9 Residences @ Taman Melati,2022.0,2100.0,Setapak,Service Residence,3.0,2.0,2.0,1000.0,Partially Furnished,Kuala Lumpur,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,2.1,2.0,Large
100320795,Suasana Lumayan,2015.0,1550.0,Cheras,Condominium,4.0,1.0,2.0,1142.0,Partially Furnished,Kuala Lumpur,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1.3572679509632224,9.0,Large
100320796,Plaza Prima Setapak,2006.0,1400.0,Setapak,Condominium,4.0,2.0,2.0,1300.0,Partially Furnished,Kuala Lumpur,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1.0769230769230769,18.0,Large
100320727,Residensi Vista Wirajaya,2017.0,1800.0,Setapak,Apartment,3.0,1.0,2.0,884.0,Fully Furnished,Kuala Lumpur,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,2.0361990950226243,7.0,Medium
100320547,One Maxim,2020.0,1300.0,Sentul,Service Residence,3.0,1.0,2.0,819.0,Partially Furnished,Kuala Lumpur,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1.5873015873015872,4.0,Medium
100320546,M Centura,2021.0,2500.0,Sentul,Service Residence,3.0,1.0,2.0,850.0,Fully Furnished,Kuala Lumpur,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,2.9411764705882355,3.0,Medium
100320543,PV9 Residences @ Taman Melati,2022.0,2300.0,Setapak,Service Residence,3.0,2.0,2.0,1000.0,Partially Furnished,Kuala Lumpur,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,2.3,2.0,Large
100320529,Majestic Maxim,2021.0,1350.0,Cheras,Service Residence,2.0,1.0,1.0,650.0,Partially Furnished,Kuala Lumpur,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,2.076923076923077,3.0,Medium
100320520,Residensi KepongMas,2020.0,1100.0,Kepong,Apartment,3.0,2.0,2.0,800.0,Partially Furnished,Kuala Lumpur,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1.375,4.0,Medium
100320656,Bayu Sentul Condominium,2015.0,1700.0,Sentul,Condominium,3.0,2.0,2.0,1300.0,Partially Furnished,Kuala Lumpur,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1.3076923076923077,9.0,Large
100170082,Vista Angkasa,2017.0,1800.0,Bangsar South,Apartment,3.0,1.0,2.0,1200.0,Partially Furnished,Kuala Lumpur,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1.5,7.0,Large
100234537,The Nest Residence @ Genting Klang,2017.0,1600.0,Setapak,Service Residence,3.0,1.0,2.0,770.0,Fully Furnished,Kuala Lumpur,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,2.0779220779220777,7.0,Medium
100320486,Sky Awani 3 Residence Setpak,2017.0,1600.0,Setapak,Service Residence,3.0,2.0,2.0,800.0,Fully Furnished,Kuala Lumpur,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,2.0,7.0,Medium
100320507,M Centura,2021.0,1650.0,Sentul,Service Residence,3.0,2.0,2.0,850.0,Partially Furnished,Kuala Lumpur,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1.9411764705882353,3.0,Medium
100320503,M Centura,2021.0,1200.0,Sentul,Service Residence,2.0,1.0,1.0,646.0,Not Furnished,Kuala Lumpur,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1.8575851393188854,3.0,Medium
100320593,OG Heights,1988.0,1200.0,Pantai,Condominium,2.0,1.0,2.0,1000.0,Partially Furnished,Kuala Lumpur,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1.2,36.0,Large
99174282,Delima J Apartment,2017.0,1400.0,Desa Pandan,Apartment,3.0,1.0,2.0,1000.0,Partially Furnished,Kuala Lumpur,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1.4,7.0,Large
